minifig_id,character
SW0959,FX-9 Medical Assistant Droid
SW0960,Sandtrooper
SW0961,Sandtrooper
SW0964,Dwarf Spider Droid
SW0965,Dwarf Spider Droid
SW0966,Dwarf Spider Droid
SW0969,Cloud Car Pilot
SW0970,Ugnaught
SW0971,Luke Skywalker
SW0972,Princess Leia
SW0973,Lando Calrissian
SW0974,Lobot
SW0975,Bespin Guard
SW0976,Han Solo
SW0977,Boba Fett
SW0978,Han Solo
SW0979,Aldar Beedo
SW0980,Sebulba
SW0984,Han Solo
SW0989,Elite Praetorian Guard
SW0990,Elite Praetorian Guard
SW0991,Luke Skywalker
SW0994,Princess Leia
SW0995,Rebel Fleet Trooper
SW0996,Kashyyyk Battle Droid
SW0997,Stormtrooper
SW0998,Praetorian Training Droid
SW0999,Luke Skywalker
SW1001,Anakin Skywalker
SW1002,Clone Trooper
SW1003,Commander Gree
SW1004,Mouse Droid
SW1005,Finch Dallow
SW1006,Kylo Ren
SW1010,Major Elrik Vonreg
SW1011,Princess Leia
SW1012,Kaz Xiono
SW1013,R1-J5
SW1018,Griff Halloran
SW1019,Poe Dameron
SW1020,Zuckuss
SW1021,Han Solo
SW1022,Princess Leia
SW1023,Padmé Amidala
SW1025,Dak Ralter
SW1026,Hoth Rebel Trooper
SW1027,Lando Calrissian
SW1028,Wookiee Warrior
SW1029,Darth Vader
SW1030,Dwarf Spider Droid
SW1034,BB-8
SW1035,Captain Antilles
SW1036,Princess Leia
SW1037,Bail Organa
SW1045,Imperial Gunner
SW1046,Obi-Wan Kenobi
SW1047,Temmin 'Snap' Wexley
SW1048,Lieutenant Kaydel Ko Connix
SW1049,Poe Dameron
SW1050,Zorii Bliss
SW1051,D-O
SW1052,Astromech Droid
SW1053,First Order Snowtrooper
SW1054,Rey
SW1055,First Order Jet Trooper
SW1056,First Order Treadspeeder Driver
SW1057,Din Djarin
SW1058,Cara Dune
SW1059,Klatooinian Raider
SW1060,Klatooinian Raider
SW1061,Kylo Ren
SW1062,Allegiant General Pryde
SW1063,Ap'lek
SW1064,Ushar
SW1065,Sith Trooper
SW1066,Finn
SW1067,Lando Calrissian
SW1068,Boolio
SW1074,Tusken Raider
SW1075,Sith Jet Trooper
SW1076,Sith Eternal Officer
SW1077,Mandalorian Warrior
SW1078,Mandalorian Warrior
SW1079,Mandalorian Warrior
SW1080,Mandalorian Warrior
SW1082,Obi-Wan Kenobi
SW1083,Darth Vader
SW1084,Obi-Wan Kenobi
SW1085,R2-D2
SW1086,Luke Skywalker
SW1087,Trudgen
SW1088,Jannah
SW1089,Vicrul
SW1093,Clone Trooper
SW1094,Clone Trooper
SW1095,Anakin Skywalker
SW1096,Ahsoka Tano
SW1097,Clone Trooper
SW1098,Kuruk
SW1099,Cardo
SW1100,Clone Trooper
SW1101,General Veers
SW1102,Snowtrooper
SW1103,Snowtrooper
SW1104,AT-AT Driver
SW1105,AT-AT Driver
SW1106,Darth Vader
SW1107,Palpatine
SW1112,Darth Vader
SW1113,Grogu
SW1114,Greef Karga
SW1115,IG-11
SW1116,Scout Trooper
SW1124,Ponda Baba
SW1125,Cornelius Evazan
SW1126,Labria
SW1127,Garindan
SW1128,Momaw Nadon
SW1129,Kabe
SW1130,Hrchek Kal Fas
SW1131,Sandtrooper
SW1132,Sandtrooper
SW1135,Din Djarin
SW1136,NI-L8
SW1137,Stormtrooper
SW1138,TIE Fighter Pilot
SW1139,Luke Skywalker
SW1140,General Jan Dodonna
SW1141,Darth Vader
SW1142,Imperial Shuttle Pilot
SW1146,Clone Trooper Commander
SW1148,Hunter
SW1149,Wrecker
SW1150,Tech
SW1151,Echo
SW1152,Crosshair
SW1153,Gonky
SW1154,General Veers
SW1155,Darth Maul
SW1156,Greef Karga
SW1157,Artillery Stormtrooper
SW1158,Boba Fett
SW1159,Fennec Shand
SW1160,Moff Gideon
SW1161,Dark Trooper
SW1162,Gar Saxon
SW1163,Bo-Katan Kryze
SW1164,Mandalorian Warrior
SW1166,Din Djarin
SW1167,Stormtrooper
SW1168,Stormtrooper
SW1171,The Armorer
SW1172,Paz Vizsla
SW1178,Snowtrooper
SW1179,Snowtrooper
SW1181,Snowtrooper
SW1182,Scout Trooper
SW1183,AT-ST Driver
SW1184,Chewbacca
SW1185,Hoth Rebel Trooper
SW1186,Hoth Rebel Trooper
SW1187,Hoth Rebel Trooper
SW1188,Hoth Rebel Trooper
SW1189,Clone Trooper
SW1190,Imperial Probe Droid
SW1191,Luke Skywalker
SW1192,Fennec Shand
SW1193,Bib Fortuna
SW1194,Theelin Dancer
SW1195,Quarren
SW1196,Gamorrean Guard
SW1197,Weequay Guard
SW1205,Mace Windu
SW1206,187th Legion Clone Commander
SW1207,Clone Trooper
SW1210,Peli Motto
SW1211,BD-72
SW1212,Din Djarin
SW1214,Omega
SW1215,Todo 360
SW1216,Taun We
SW1219,Cad Bane
SW1220,Obi-Wan Kenobi
SW1221,R4-P17
SW1222,Grand Inquisitor
SW1223,Fifth Brother
SW1224,Obi-Wan Kenobi
SW1225,Tala Durith
SW1226,NED-B
SW1227,Obi-Wan Kenobi
SW1228,Darth Vader
SW1230,Luthen Rael
SW1231,Cassian Andor
SW1232,Syril Karn
SW1233,Commander Cody
SW1234,Dwarf Spider Droid
SW1235,Clone Trooper
SW1236,Clone Trooper Gunner
SW1237,Third Sister
